SOURCE_ASSET_KEY,TARGET_ASSET_KEY
annoy/dsml-features-seller-sgns/seller_ann_index,nearest_neighbors/dsml-features-seller-sgns/seller_nearest_neighbors
chalk_feature_datasets/test_feature_dataset,s3/feature_dataset_exports/test_feature_dataset/last_8_days
chalk_feature_datasets/test_feature_dataset_stage,s3/feature_dataset_exports/test_feature_dataset_stage/last_8_days
chalk_feature_datasets/user_bin_order_chargeback_training_dataset,s3/feature_dataset_exports/user_bin_order_chargeback_training_dataset/last_180_days
chalk_feature_datasets/user_livestream_nux_ranking_request_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_nux_ranking_request_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_nux_ranking_request_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_nux_ranking_request_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_nux_request_recall_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_nux_request_recall_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_nux_request_recall_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_nux_request_recall_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_training_feature_dataset,s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_training_feature_dataset/last_8_days
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_training_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_nux_taxonomy_agnostic_training_feature_dataset_limited/last_8_days
chalk_feature_datasets/user_livestream_ranking_request_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_ranking_request_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_ranking_request_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_ranking_request_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_request_recall_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_request_recall_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_request_recall_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_request_recall_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_nux_ranking_request_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_seconds_since_start_nux_ranking_request_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_nux_ranking_request_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_seconds_since_start_nux_ranking_request_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_nux_request_recall_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_seconds_since_start_nux_request_recall_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_nux_request_recall_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_seconds_since_start_nux_request_recall_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_ranking_request_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_seconds_since_start_ranking_request_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_ranking_request_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_seconds_since_start_ranking_request_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_request_recall_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_seconds_since_start_request_recall_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_seconds_since_start_request_recall_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_seconds_since_start_request_recall_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_taxonomy_agnostic_ranking_request_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_taxonomy_agnostic_ranking_request_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_taxonomy_agnostic_request_recall_evaluation_feature_dataset,s3/feature_dataset_exports/user_livestream_taxonomy_agnostic_request_recall_evaluation_feature_dataset/last_1_days
chalk_feature_datasets/user_livestream_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited/last_1_days
chalk_feature_datasets/user_livestream_taxonomy_agnostic_training_feature_dataset,s3/feature_dataset_exports/user_livestream_taxonomy_agnostic_training_feature_dataset/last_8_days
chalk_feature_datasets/user_livestream_taxonomy_agnostic_training_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_taxonomy_agnostic_training_feature_dataset_limited/last_8_days
chalk_feature_datasets/user_livestream_timestamp_nux_training_feature_dataset,s3/feature_dataset_exports/user_livestream_timestamp_nux_training_feature_dataset/last_8_days
chalk_feature_datasets/user_livestream_timestamp_nux_training_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_timestamp_nux_training_feature_dataset_limited/last_8_days
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_nux_training_feature_dataset,s3/feature_dataset_exports/user_livestream_timestamp_seconds_since_start_nux_training_feature_dataset/last_8_days
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_nux_training_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_timestamp_seconds_since_start_nux_training_feature_dataset_limited/last_8_days
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_training_feature_dataset,s3/feature_dataset_exports/user_livestream_timestamp_seconds_since_start_training_feature_dataset/last_8_days
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_training_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_timestamp_seconds_since_start_training_feature_dataset_limited/last_8_days
chalk_feature_datasets/user_livestream_timestamp_training_feature_dataset,s3/feature_dataset_exports/user_livestream_timestamp_training_feature_dataset/last_8_days
chalk_feature_datasets/user_livestream_timestamp_training_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_timestamp_training_feature_dataset_limited/last_8_days
chalk_feature_datasets/user_livestream_training_feature_tag_dataset,s3/feature_dataset_exports/user_livestream_training_feature_tag_dataset/last_8_days
chalk_feature_datasets/user_livestream_training_feature_tag_feature_dataset_limited,s3/feature_dataset_exports/user_livestream_training_feature_tag_feature_dataset_limited/last_8_days
clickhouse/database/_batch_ingestion,clickhouse/grant/dbt_user__CREATE___batch_ingestion
clickhouse/database/_batch_ingestion,clickhouse/grant/dbt_user__INSERT___batch_ingestion
clickhouse/database/_batch_ingestion,clickhouse/grant/dbt_user__SELECT___batch_ingestion
clickhouse/database/_batch_ingestion,clickhouse/grant/mbe_user__SELECT___batch_ingestion
clickhouse/database/_ingestion,clickhouse/grant/dbt_user__CREATE___ingestion
clickhouse/database/_ingestion,clickhouse/grant/dbt_user__SELECT___ingestion
clickhouse/database/_ingestion,clickhouse/table/_ingestion__analytics_events
clickhouse/database/_ingestion,clickhouse/table/_ingestion__frontend_events
clickhouse/database/ads,clickhouse/grant/dbt_user__CREATE__ads
clickhouse/database/ads,clickhouse/grant/dbt_user__DROP__ads
clickhouse/database/ads,clickhouse/grant/dbt_user__INSERT__ads
