ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
airtable/catex/influencer_monitor_scraping/airtable__influencer_monitor_scraping,airtable__catex,t3,growth,airtable
annoy/dsml-features-seller-sgns/seller_ann_index,annoy,,,annoy
auto_materialize_test_asset,default,t4,data_platforms,auto_materialize_test_asset
chalk/dev_card_fraud_order_day,chalk,,,chalk
chalk/dev_seller_bid_day,chalk,,,chalk
chalk/dev_seller_bid_hour,chalk,,,chalk
chalk/dev_seller_order_day,chalk,,,chalk
chalk/dev_seller_order_hour,chalk,,,chalk
chalk/dev_seller_watch_day,chalk,,,chalk
chalk/dev_seller_watch_hour,chalk,,,chalk
chalk/dev_tag_bid_day,chalk,,,chalk
chalk/dev_tag_bid_hour,chalk,,,chalk
chalk/dev_tag_order_day,chalk,,,chalk
chalk/dev_tag_order_hour,chalk,,,chalk
chalk/dev_tag_similarity_score_day,chalk,,,chalk
chalk/dev_tag_watch_day,chalk,,,chalk
chalk/dev_tag_watch_hour,chalk,,,chalk
chalk/dev_user_bid_day,chalk,,,chalk
chalk/dev_user_bid_hour,chalk,,,chalk
chalk/dev_user_country_bid_day,chalk,,,chalk
chalk/dev_user_country_order_day,chalk,,,chalk
chalk/dev_user_country_watch_day,chalk,,,chalk
chalk/dev_user_fraud_order_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_bid_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_bid_hour,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_order_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_order_hour,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_watch_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_watch_hour,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_bid_day,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_bid_hour,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_order_day,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_order_hour,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_watch_day,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_watch_hour,chalk,,,chalk
chalk/dev_user_order_day,chalk,,,chalk
chalk/dev_user_order_hour,chalk,,,chalk
chalk/dev_user_seller_bid_day,chalk,,,chalk
chalk/dev_user_seller_bid_hour,chalk,,,chalk
chalk/dev_user_seller_order_day,chalk,,,chalk
chalk/dev_user_seller_order_hour,chalk,,,chalk
chalk/dev_user_seller_watch_day,chalk,,,chalk
chalk/dev_user_seller_watch_hour,chalk,,,chalk
chalk/dev_user_similar_tag_bid_day,chalk,,,chalk
chalk/dev_user_similar_tag_bid_hour,chalk,,,chalk
chalk/dev_user_similar_tag_order_day,chalk,,,chalk
chalk/dev_user_similar_tag_order_hour,chalk,,,chalk
chalk/dev_user_similar_tag_watch_day,chalk,,,chalk
chalk/dev_user_similar_tag_watch_hour,chalk,,,chalk
chalk/dev_user_tag_bid_day,chalk,,,chalk
chalk/dev_user_tag_bid_hour,chalk,,,chalk
chalk/dev_user_tag_order_day,chalk,,,chalk
chalk/dev_user_tag_order_hour,chalk,,,chalk
chalk/dev_user_tag_watch_day,chalk,,,chalk
chalk/dev_user_tag_watch_hour,chalk,,,chalk
chalk/dev_user_watch_day,chalk,,,chalk
chalk/dev_user_watch_hour,chalk,,,chalk
chalk/prod_card_fraud_order_day,chalk,,,chalk
chalk/prod_freshness_alert,chalk_monitoring,,,chalk
chalk/prod_seller_bid_day,chalk,,,chalk
chalk/prod_seller_bid_hour,chalk,,,chalk
chalk/prod_seller_order_day,chalk,,,chalk
chalk/prod_seller_order_hour,chalk,,,chalk
chalk/prod_seller_watch_day,chalk,,,chalk
chalk/prod_seller_watch_hour,chalk,,,chalk
chalk/prod_tag_bid_day,chalk,,,chalk
chalk/prod_tag_bid_hour,chalk,,,chalk
chalk/prod_tag_order_day,chalk,,,chalk
chalk/prod_tag_order_hour,chalk,,,chalk
chalk/prod_tag_similarity_score_day,chalk,,,chalk
chalk/prod_tag_watch_day,chalk,,,chalk
chalk/prod_tag_watch_hour,chalk,,,chalk
chalk/prod_user_bid_day,chalk,,,chalk
chalk/prod_user_bid_hour,chalk,,,chalk
chalk/prod_user_country_bid_day,chalk,,,chalk
chalk/prod_user_country_order_day,chalk,,,chalk
chalk/prod_user_country_watch_day,chalk,,,chalk
chalk/prod_user_fraud_order_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_bid_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_bid_hour,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_order_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_order_hour,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_watch_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_watch_hour,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_bid_day,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_bid_hour,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_order_day,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_order_hour,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_watch_day,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_watch_hour,chalk,,,chalk
chalk/prod_user_order_day,chalk,,,chalk
chalk/prod_user_order_hour,chalk,,,chalk
chalk/prod_user_seller_bid_day,chalk,,,chalk
chalk/prod_user_seller_bid_hour,chalk,,,chalk
chalk/prod_user_seller_order_day,chalk,,,chalk
chalk/prod_user_seller_order_hour,chalk,,,chalk
chalk/prod_user_seller_watch_day,chalk,,,chalk
chalk/prod_user_seller_watch_hour,chalk,,,chalk
chalk/prod_user_similar_tag_bid_day,chalk,,,chalk
chalk/prod_user_similar_tag_bid_hour,chalk,,,chalk
chalk/prod_user_similar_tag_order_day,chalk,,,chalk
chalk/prod_user_similar_tag_order_hour,chalk,,,chalk
chalk/prod_user_similar_tag_watch_day,chalk,,,chalk
chalk/prod_user_similar_tag_watch_hour,chalk,,,chalk
chalk/prod_user_tag_bid_day,chalk,,,chalk
chalk/prod_user_tag_bid_hour,chalk,,,chalk
chalk/prod_user_tag_order_day,chalk,,,chalk
chalk/prod_user_tag_order_hour,chalk,,,chalk
chalk/prod_user_tag_watch_day,chalk,,,chalk
chalk/prod_user_tag_watch_hour,chalk,,,chalk
chalk/prod_user_watch_day,chalk,,,chalk
chalk/prod_user_watch_hour,chalk,,,chalk
chalk/stage_card_fraud_order_day,chalk,,,chalk
chalk/stage_seller_bid_day,chalk,,,chalk
chalk/stage_seller_bid_hour,chalk,,,chalk
chalk/stage_seller_order_day,chalk,,,chalk
chalk/stage_seller_order_hour,chalk,,,chalk
chalk/stage_seller_watch_day,chalk,,,chalk
chalk/stage_seller_watch_hour,chalk,,,chalk
chalk/stage_tag_bid_day,chalk,,,chalk
chalk/stage_tag_bid_hour,chalk,,,chalk
chalk/stage_tag_order_day,chalk,,,chalk
chalk/stage_tag_order_hour,chalk,,,chalk
chalk/stage_tag_similarity_score_day,chalk,,,chalk
chalk/stage_tag_watch_day,chalk,,,chalk
chalk/stage_tag_watch_hour,chalk,,,chalk
chalk/stage_user_bid_day,chalk,,,chalk
chalk/stage_user_bid_hour,chalk,,,chalk
chalk/stage_user_country_bid_day,chalk,,,chalk
chalk/stage_user_country_order_day,chalk,,,chalk
chalk/stage_user_country_watch_day,chalk,,,chalk
chalk/stage_user_fraud_order_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_bid_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_bid_hour,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_order_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_order_hour,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_watch_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_watch_hour,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_bid_day,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_bid_hour,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_order_day,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_order_hour,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_watch_day,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_watch_hour,chalk,,,chalk
chalk/stage_user_order_day,chalk,,,chalk
chalk/stage_user_order_hour,chalk,,,chalk
chalk/stage_user_seller_bid_day,chalk,,,chalk
chalk/stage_user_seller_bid_hour,chalk,,,chalk
chalk/stage_user_seller_order_day,chalk,,,chalk
chalk/stage_user_seller_order_hour,chalk,,,chalk
chalk/stage_user_seller_watch_day,chalk,,,chalk
chalk/stage_user_seller_watch_hour,chalk,,,chalk
chalk/stage_user_similar_tag_bid_day,chalk,,,chalk
chalk/stage_user_similar_tag_bid_hour,chalk,,,chalk
chalk/stage_user_similar_tag_order_day,chalk,,,chalk
chalk/stage_user_similar_tag_order_hour,chalk,,,chalk
chalk/stage_user_similar_tag_watch_day,chalk,,,chalk
chalk/stage_user_similar_tag_watch_hour,chalk,,,chalk
chalk/stage_user_tag_bid_day,chalk,,,chalk
chalk/stage_user_tag_bid_hour,chalk,,,chalk
chalk/stage_user_tag_order_day,chalk,,,chalk
chalk/stage_user_tag_order_hour,chalk,,,chalk
chalk/stage_user_tag_watch_day,chalk,,,chalk
chalk/stage_user_tag_watch_hour,chalk,,,chalk
chalk/stage_user_watch_day,chalk,,,chalk
chalk/stage_user_watch_hour,chalk,,,chalk
chalk/user_card_feature_data_validation,chalk_monitoring,,,chalk
chalk_feature_datasets/test_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/test_feature_dataset_stage,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/tutorial_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_bin_order_chargeback_training_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
